út	ú
GóG tornáS	GóG torná
vál ogat ott	váloogat ott
keres ő	keresőő
modul interféS é t	modul interféSéé t
omnihttpd	omn httpd
feldolgozó ként	fel olg zó ként
itt	i t
tö bb et	többb et
php_gtk	php_g k
i _ iii _	i _ ii  _
tö bb	többb
3m_re	3m_ e
fáni	fá
fa házikó t	fahházikó t
közben	köz en
lakó	lak
fa gerendá s	faggerend ss
aztán	aztá
állítólag	állít lag
tár sas ág tól	társsas ág tól
múlva	múl a
őS é n	őSéé n
váll alt _	vállaalt _
tár sas ág	társsas ág
perczel	perc el
igaz a	igazaa
Sóval	Só al
igazából	igaz ból
naGban	naG an
tég ed	tégeed
rá Codálkoz ás	ráCCodálkoz ás
inspirál	ins irál
apá m mal	apámm mal
röhej es	röhejees
harsoná d at	harsonádd at
alkot ó	alkotóó
kis Gerek	kis Ger k
elsősorban	el ősorban
igazán	igaz
mag a	magaa
én em	éneem
érez het ném	érezhhet ném
Sörf öz ök	Sör ööz ök
boldog gá	boldogááá
dönt ő	döntőő
fi a	fiaa
keGesrend i	keG srend i
SobráS	Sobr S
forma tervező k	forma terv ző k
péter _ németh	péter__ német
verseNz ő pár os a	verseNzőő pár os a
jobban	jo ban
jég kocka	jégkkocka
fog mos ás hoz	fogmmos ás hoz
vi Gen	viGGen
fő köNv i	fő köN  i
mat_	mat
malom verseN	malo  verseN
Cütörtök	Cütör  k
lehangoltság ot	le angoltságoot
Zeb kendő re	Zeb kend  re
húG Cő Gulladás	húG Cő Gullad s
fürd ő víz be	fürd ő v z be
megSűntetésében	meg űntetés ben
máj tiStít ás	májttiStít ás
eNhít i	eN ít i
bálváN imád ó	bál áN i ád ó
eGiptom	eG pt m
emlékez zetek	emlékezzzet k
chanukakor	chanuka  r
kiváltság ok at	ki áltság ok at
anGal a	anGalaa
üSök	üS k
hivatás á t	hivat s á t
iriG ség	iriGsség
tündököl	tünd k l
örök	ör k
iriG ség é vel	iriGsség é vel
hit e	hitee
babiloniai	babilonia
Seret etlen ség	Sereteetlen ség
leg első	legeelső
jel véN e	jelvvéN e
Cöpp Ni	CöppNNi
Sáz ad os	Sázaad os
többNire	többNi e
Gerek lelk ű	Gerekllelk ű
fenti	fent
Sélső ség es	Sélsősség es
le ár az ás ok	le áraaz ás ok
Gerek kor od ra	Gerek korood ra
alap listá n	alapllistá n
benn etek	benneetek
társ atok	társaatok
igazgató	igazgat
hárm an	hármaan
ké ne	kénne
mindhárm an	mindhármaan
elé jük	eléjjük
le dob ja	leddob ja
felett i	fel tt i
történ ő	törté  ő
segít ő	segítőő
assisi	as isi
gondolkodó	gondolkod
leg tö bb Sör	leg tö bbSSör
sár rét en	sárrrét en
máshoG	más oG
partizán t	partizá tt
uGanez	uGan z
küzd ő k	küzdőő k
Gűlöl tem	Gűlölttem
meNNire	meNNi e
való s ít ottam	valóss ít ottam
ki zökken ek	ki z kken ek
jólnevelt	jól evel
tiStá bb an	tiStábbb an
montreal	montre l
semmiLen	semmiL n
köNNű	köNN
átmérőjű	átmérő ű
súL a	súLaa
1 _ 3 _a	1 _ 3 _
Gár tó	Gárttó
jelent ő s en	jelentőő s en
hasonl ó k	hasonlóó k
nemtommi	nem ommi
konkrét	konk ét
el ismer és e képpen	el ismer és ekképpen
díS polgár a	díS polgá  a
hét ről _ hét re	hétrről _ hét re
